Q5ZPA7	CAF05650.1
Q8GAQ5	AAN32979.1
Q7WRJ0	AAO62585.1
Q7WRJ0	AFW93774.1
Q7WRJ0	CAD60100.1
Q847C6	AAO64404.1
Q8G985	CAD29795.1
Q9RNB5	AAF00957.1
P10378	CAA33158.1
P10378	AAB40794.1
P10378	AAC73695.1
P10378	BAE76349.1
P10378	AAA16101.1
P10378	AAA18492.1
Q56950	AAA93464.1
Q56950	AAC69591.1
Q56950	CAA21394.1
Q56950	CAL20546.1
Q333V6	CAJ34366.1
Q5PT48	AAV84073.1
Q5PT48	BAH04171.1
P95819	CAA67140.1
Q9FDB2	AAG00564.1
Q9RFM9	AAD55799.1
Q9RFM9	ALY65919.1
Q9RFM9	MBA4953493.1
Q9RFM9	OTI55328.1
Q9RFM9	RPL80285.1
Q9RFM9	TEM79401.1
Q9RFM9	TER46171.1
Q9RFM9	TGB26959.1
Q9RFM9	VFT54220.1
P40871	AAC44632.1
P40871	CAB15188.1
P40871	AAA79759.1
Q9F638	AAG31128.1
Q9I157	AAG05812.1
Q9RNB0	AAF00961.1
Q8G982	CAD29798.1
Q847C7	AAO64403.1
Q7WRQ4	AAO62587.1
Q7WRQ4	AFW93776.1
Q7WRQ4	CAD60102.1
Q8GAQ6	AAN32978.1
Q9FDB0	AAG00566.1
Q9FDB0	MVD22684.1
Q9FDB0	PYC78681.1
Q01886	AAA33023.2
Q93N86	AAK81827.1
Q8GGN5	AAN85530.1
Q333U7	CAJ34375.1
Q8GGP3	AAN85522.1
O68006	AAC06346.1
O85740	AAC83657.1
Q9FB18	AAG02364.1
Q5ZPA8	CAF05649.1
Q9RFK8	AAF19812.1
Q5MD34	AAW03327.1
Q70P96	CAD89775.1
Q9RFK9	AAF19811.1
Q5MD35	AAW03326.1
Q70P97	CAD89774.1
Q9KIZ9	AAF62881.1
Q6DNE7	AAT70101.1
Q8GAQ3	AAN32981.1
Q9RFM8	AAD55800.1
Q9RFM8	RPP25041.1
Q9Z399	AAC69587.1
Q9Z399	CAA21390.1
Q83Y48	CAD70195.1
Q84CG4	AAO66425.2
Q84CG4	AAP92497.1
Q09164	CAA82227.1
Q6WZ98	AAP92505.1
O33743	CAA71336.1
P19787	CAA38195.1
P27742	AAA03914.1
P27742	CAA38631.1
P27742	EAA62968.1
P27742	CBF84349.1
Q9C1G0	AAK21902.1
P27743	CAA40561.1
P94873	BAA08846.1
Q83Y49	CAD70194.1
Q9F636	AAG31130.1
Q6VT93	AAS47562.1
Q5DIS7	AAX16327.1
Q5J1Q6	AAT09805.1
Q50JA2	CAG29032.1
Q5J1Q7	AAT09804.1
Q6WZA7	AAP92496.1
O68008	AAC06348.1
O69246	CAA06324.1
Q65NK4	AAU22003.1
Q04747	BAA02523.1
Q04747	CAA49817.1
Q04747	BAA08983.1
Q04747	CAB12143.2
Q04747	CAA46678.1
Q70KJ6	CAE02631.1
Q70C44	CAE52342.1
O87606	AAC36721.1
Q70JX1	CAE11277.1
O68007	AAC06347.1
O30409	AAC45930.1
P0C064	BAA06146.1
P0C064	BAA00778.1
Q93I54	BAB69700.1
Q9R9I9	AAF08797.1
Q9R9J1	AAF08795.1
Q6YK41	AAN07012.1
Q5NKN7	AAQ07410.1
Q70JZ8	CAE11250.1
Q9R9J0	AAF08796.1
Q6YK40	AAN07013.1
Q70JZ9	CAE11249.1
Q93I55	BAB69699.1
O87704	CAA09819.1
Q70JX2	CAE11276.1
O30980	AAB80955.2
Q70JX4	CAE11274.1
O30408	AAC45929.1
Q2VQ15	AAY29580.1
Q2VQ16	AAY29579.1
Q2VQ12	AAY29583.1
Q2VQ14	AAY29581.1
O66071	AAD04759.1
Q65NK3	AAU22004.1
Q08787	CAA49818.1
Q08787	BAA08985.1
Q08787	CAB12145.2
Q70KJ4	CAE02633.1
Q45295	CAA06323.1
Q45295	CAA71582.1
Q65NK5	AAU22002.1
P27206	BAA02522.1
P27206	CAA49816.1
P27206	BAA08982.1
P27206	CAB12142.2
P27206	AAA22815.1
P27206	BAA21034.1
P27206	AAA22816.1
Q70KJ7	CAE02630.1
Q45563	AAB00093.1
Q70JX5	CAE11273.1
O30981	AAB80956.1
Q70JX3	CAE11275.1
P0C062	BAA00406.1
P0C062	BAA00777.1
P09095	CAA31623.1
P09095	AAC45928.1
P09095	AAA22876.1
Q70LM7	CAD92849.1
Q50JA3	CAG29031.1
Q9RK14	CAB53322.1
Q9FB27	AAG02355.1
Q6WZB2	AAP92491.1
Q9FB26	AAG02356.1
